"customer_id","first_name","last_name","address","city","phone"
375,"Aaron","Selby","1049 Matamoros Parkway","Gulbarga","960505250340"
367,"Adam","Gooch","1163 London Parkway","Belm","675120358494"
525,"Adrian","Clary","1949 Sanya Street","Isesaki","132100972047"
217,"Agnes","Bishop","1001 Miyakonojo Lane","Taizz","584316724815"
389,"Alan","Kahn","500 Lincoln Parkway","Huaian","550306965159"
352,"Albert","Crouse","1673 Tangail Drive","Daugavpils","627924259271"
568,"Alberto","Henning","1342 Sharja Way","Sokoto","946114054231"
454,"Alex","Gresham","956 Nam Dinh Manor","Sirjan","474047727727"
439,"Alexander","Fennell","1351 Aparecida de Goinia Parkway","Ozamis","959834530529"
423,"Alfred","Casillas","437 Chungho Drive","San Felipe de Puerto Plata","491271355190"
567,"Alfredo","Mcadams","1894 Boa Vista Way","Garland","239357986667"
51,"Alice","Stewart","686 Garland Manor","Juazeiro do Norte","69493378813"
152,"Alicia","Mills","1952 Pune Lane","Saint-Denis","354615066969"
548,"Allan","Cornish","1658 Cuman Loop","Pangkal Pinang","784907335610"
412,"Allen","Butterfield","1639 Saarbrcken Drive","Rustenburg","328494873422"
228,"Allison","Stanley","60 Poos de Caldas Street","Jodhpur","963063788669"
196,"Alma","Austin","9 San Miguel de Tucumn Manor","Firozabad","956188728558"
467,"Alvin","Deloach","1621 Tongliao Avenue","Usolje-Sibirskoje","209342540247"
40,"Amanda","Carter","334 Munger (Monghyr) Lane","Arak","481183273622"
139,"Amber","Dixon","943 Johannesburg Avenue","Pune","90921003005"
32,"Amy","Lopez","1425 Shikarpur Manor","Munger (Monghyr)","678220867005"
181,"Ana","Bradley","146 Johannesburg Way","Matamoros","953689007081"
515,"Andre","Rapp","886 Tonghae Place","Kamyin","711928348157"
81,"Andrea","Henderson","1692 Ede Loop","Araatuba","918711376618"
333,"Andrew","Purdy","1860 Taguig Loop","Ciparay","38158430589"
582,"Andy","Vanhorn","1568 Celaya Parkway","Fengshan","278669994384"
503,"Angel","Barclay","1416 San Juan Bautista Tuxtepec Avenue","Salala","144206758053"
29,"Angela","Hernandez","934 San Felipe de Puerto Plata Street","Shikarpur","196495945706"
136,"Anita","Morales","898 Belm Manor","Botshabelo","707169393853"
48,"Ann","Evans","1998 Halifax Drive","Lipetsk","177727722820"
33,"Anna","Hill","786 Aurora Avenue","Shimonoseki","18461860151"
85,"Anne","Powell","320 Baiyin Parkway","Mahajanga","223664661973"
175,"Annette","Olson","316 Uruapan Street","Ipoh","275788967899"
97,"Annie","Russell","832 Nakhon Sawan Manor","Zalantun","275595571388"
320,"Anthony","Schwab","1542 Lubumbashi Boulevard","Bat Yam","508800331065"
398,"Antonio","Meek","954 Lapu-Lapu Way","Korolev","737229003916"
142,"April","Burns","1587 Sullana Lane","Hohhot","468060467018"
225,"Arlene","Harvey","1926 Gingoog Street","Syrakusa","469738825391"
556,"Armando","Gruber","346 Cam Ranh Avenue","Zhoushan","978430786151"
522,"Arnold","Havens","1768 Udine Loop","Battambang","448876499197"
346,"Arthur","Simpkins","1217 Konotop Avenue","Ede","718917251754"
63,"Ashley","Richardson","1213 Ranchi Parkway","Mysore","800024380485"
173,"Audrey","Ray","1294 Firozabad Drive","Pingxiang","161801569569"
599,"Austin","Cintron","1895 Zhezqazghan Drive","Garden Grove","137809746111"
4,"Barbara","Jones","1411 Lillydale Drive","Woodridge","6172235589"
438,"Barry","Lovelace","596 Huixquilucan Place","Naala-Porto","342709348083"
170,"Beatrice","Arnold","710 San Felipe del Progreso Avenue","Lilongwe","843801144113"
287,"Becky","Miles","1405 Chisinau Place","Ponce","62781725285"
510,"Ben","Easter","48 Maracabo Place","Talavera","82671830126"
364,"Benjamin","Varney","1623 Kingstown Drive","Almirante Brown","296394569728"
440,"Bernard","Colby","722 Bradford Lane","Junan","746251338300"
172,"Bernice","Willis","475 Atinsk Way","Jinchang","201705577290"
156,"Bertha","Ferguson","1963 Moscow Place","Nagaon","761379480249"
221,"Bessie","Morrison","866 Shivapuri Manor","Sambhal","778502731092"
199,"Beth","Franklin","1792 Valle de la Pascua Place","Siegen","419419591240"
14,"Betty","White","1531 Sal Drive","Esfahan","648856936185"
73,"Beverly","Brooks","1031 Daugavpils Parkway","Bchar","107137400143"
